"Links","Time","Nome","PPG","RPG","APG","Altura","Peso","País","Idade","Data_de_nascimento","DRAFT","Experiência"
"https://www.nba.com/player/1630173/precious-achiuwa/","New York Knicks | #5 | Forward","Precious
Achiuwa","6.3","5.6","1.0","6'8"" (2.03m)","243lb (110kg)","Nigeria","25 years","September 19, 1999","2020 R1 Pick 20","4 Years"
"https://www.nba.com/player/203500/steven-adams/","Houston Rockets | #12 | Center","Steven
Adams","3.5","5.3","1.2","6'11"" (2.11m)","265lb (120kg)","New Zealand","31 years","July 20, 1993","2013 R1 Pick 12","10 Years"
"https://www.nba.com/player/1628389/bam-adebayo/","Miami Heat | #13 | Center-Forward","Bam
Adebayo","17.6","9.8","4.4","6'9"" (2.06m)","255lb (116kg)","USA","27 years","July 18, 1997","2017 R1 Pick 14","7 Years"
"https://www.nba.com/player/1630534/ochai-agbaji/","Toronto Raptors | #30 | Guard","Ochai
Agbaji","10.1","3.7","1.5","6'5"" (1.96m)","215lb (98kg)","USA","24 years","April 20, 2000","2022 R1 Pick 14","2 Years"
"https://www.nba.com/player/1630583/santi-aldama/","Memphis Grizzlies | #7 | Forward-Center","Santi
Aldama","12.8","6.6","2.9","7'0"" (2.13m)","215lb (98kg)","Spain","24 years","January 10, 2001","2021 R1 Pick 30","3 Years"
"https://www.nba.com/player/1641725/trey-alexander/","Denver Nuggets | #23 | Guard","Trey
Alexander","1.0","0.5","0.4","6'4"" (1.93m)","185lb (84kg)","USA","21 years","May 2, 2003","Undrafted","Rookie"
"https://www.nba.com/player/1629638/nickeil-alexander-walker/","Minnesota Timberwolves | #9 | Guard","Nickeil
Alexander-Walker","9.3","3.2","2.5","6'5"" (1.96m)","205lb (93kg)","Canada","26 years","September 2, 1998","2019 R1 Pick 17","5 Years"
"https://www.nba.com/player/1628960/grayson-allen/","Phoenix Suns | #8 | Guard","Grayson
Allen","10.7","3.1","2.2","6'4"" (1.93m)","198lb (90kg)","USA","29 years","October 8, 1995","2018 R1 Pick 21","6 Years"
"https://www.nba.com/player/1628386/jarrett-allen/","Cleveland Cavaliers | #31 | Center","Jarrett
Allen","13.4","10.1","1.9","6'9"" (2.06m)","243lb (110kg)","USA","26 years","April 21, 1998","2017 R1 Pick 22","7 Years"
"https://www.nba.com/player/1630631/jose-alvarado/","New Orleans Pelicans | #15 | Guard","Jose
Alvarado","9.6","2.3","4.6","6'0"" (1.83m)","179lb (81kg)","USA","26 years","April 12, 1998","Undrafted","3 Years"
"https://www.nba.com/player/203937/kyle-anderson/","Miami Heat | #20 | Forward-Guard","Kyle
Anderson","5.2","3.1","2.2","6'9"" (2.06m)","230lb (104kg)","USA","31 years","September 20, 1993","2014 R1 Pick 30","10 Years"
"https://www.nba.com/player/203507/giannis-antetokounmpo/","Milwaukee Bucks | #34 | Forward","Giannis
Antetokounmpo","30.2","12.0","5.9","6'11"" (2.11m)","243lb (110kg)","Greece","30 years","December 6, 1994","2013 R1 Pick 15","11 Years"
"https://www.nba.com/player/1630175/cole-anthony/","Orlando Magic | #50 | Guard","Cole
Anthony","9.6","3.0","2.9","6'2"" (1.88m)","185lb (84kg)","USA","24 years","May 15, 2000","2020 R1 Pick 15","4 Years"
"https://www.nba.com/player/1628384/og-anunoby/","New York Knicks | #8 | Forward-Guard","OG
Anunoby","16.8","4.8","2.2","6'7"" (2.01m)","240lb (109kg)","United Kingdom","27 years","July 17, 1997","2017 R1 Pick 23","7 Years"
"https://www.nba.com/player/1642379/taran-armstrong/","Golden State Warriors | #1 | Guard","Taran
Armstrong","--","--","--","6'5"" (1.96m)","190lb (86kg)","Australia","23 years","January 15, 2002","Undrafted","Rookie"
"https://www.nba.com/player/1630166/deni-avdija/","Portland Trail Blazers | #8 | Forward","Deni
Avdija","15.9","6.8","3.7","6'9"" (2.06m)","240lb (109kg)","Israel","24 years","January 3, 2001","2020 R1 Pick 9","4 Years"
"https://www.nba.com/player/1629028/deandre-ayton/","Portland Trail Blazers | #2 | Center","Deandre
Ayton","14.4","10.2","1.6","7'0"" (2.13m)","252lb (114kg)","Bahamas","26 years","July 23, 1998","2018 R1 Pick 1","6 Years"
"https://www.nba.com/player/1628963/marvin-bagley-iii/","Memphis Grizzlies | #35 | Forward","Marvin
Bagley III","4.1","2.6","0.3","6'10"" (2.08m)","235lb (107kg)","USA","26 years","March 14, 1999","2018 R1 Pick 2","6 Years"
"https://www.nba.com/player/1631116/patrick-baldwin-jr/","LA Clippers | #23 | Forward","Patrick
Baldwin Jr.","2.1","1.0","0.1","6'9"" (2.06m)","220lb (100kg)","USA","22 years","November 18, 2002","2022 R1 Pick 28","2 Years"
"https://www.nba.com/player/1630163/lamelo-ball/","Charlotte Hornets | #1 | Guard","LaMelo
Ball","25.4","5.1","7.2","6'7"" (2.01m)","180lb (82kg)","USA","23 years","August 22, 2001","2020 R1 Pick 3","4 Years"
"https://www.nba.com/player/1628366/lonzo-ball/","Chicago Bulls | #2 | Guard","Lonzo
Ball","7.6","3.4","3.3","6'6"" (1.98m)","190lb (86kg)","USA","27 years","October 27, 1997","2017 R1 Pick 2","5 Years"
"https://www.nba.com/player/1628964/mo-bamba/",,"Mo
Bamba","4.3","4.5","0.6","7'0"" (2.13m)","231lb (105kg)","USA","26 years","May 12, 1998","2018 R1 Pick 6","6 Years"
"https://www.nba.com/player/1631094/paolo-banchero/","Orlando Magic | #5 | Forward","Paolo
Banchero","25.4","7.2","4.8","6'10"" (2.08m)","250lb (113kg)","USA","22 years","November 12, 2002","2022 R1 Pick 1","2 Years"
"https://www.nba.com/player/1630217/desmond-bane/","Memphis Grizzlies | #22 | Guard","Desmond
Bane","18.9","6.3","5.4","6'5"" (1.96m)","215lb (98kg)","USA","26 years","June 25, 1998","2020 R1 Pick 30","4 Years"
"https://www.nba.com/player/1630625/dalano-banton/","Portland Trail Blazers | #5 | Forward","Dalano
Banton","7.8","1.8","2.1","6'8"" (2.03m)","203lb (92kg)","Canada","25 years","November 7, 1999","2021 R2 Pick 46","3 Years"
"https://www.nba.com/player/1631230/dominick-barlow/","Atlanta Hawks | #26 | Forward","Dominick
Barlow","3.9","2.0","0.4","6'8"" (2.03m)","215lb (98kg)","USA","21 years","May 26, 2003","Undrafted","2 Years"
"https://www.nba.com/player/203084/harrison-barnes/","San Antonio Spurs | #40 | Forward","Harrison
Barnes","11.8","3.8","1.7","6'8"" (2.03m)","225lb (102kg)","USA","32 years","May 30, 1992","2012 R1 Pick 7","12 Years"
"https://www.nba.com/player/1630567/scottie-barnes/","Toronto Raptors | #4 | Forward-Guard","Scottie
Barnes","19.7","7.8","5.9","6'7"" (2.01m)","237lb (108kg)","USA","23 years","August 1, 2001","2021 R1 Pick 4","3 Years"
"https://www.nba.com/player/1629628/rj-barrett/","Toronto Raptors | #9 | Forward-Guard","RJ
Barrett","21.5","6.5","5.7","6'6"" (1.98m)","214lb (97kg)","Canada","24 years","June 14, 2000","2019 R1 Pick 3","5 Years"
"https://www.nba.com/player/1629646/charles-bassey/","San Antonio Spurs | #28 | Center-Forward","Charles
Bassey","4.6","4.4","0.5","6'10"" (2.08m)","230lb (104kg)","Nigeria","24 years","October 28, 2000","2021 R2 Pick 53","3 Years"
"https://www.nba.com/player/1641734/emoni-bates/","Cleveland Cavaliers | #21 | Forward","Emoni
Bates","0.9","--","0.6","6'8"" (2.03m)","170lb (77kg)","USA","21 years","January 28, 2004","2023 R2 Pick 49","1 Year"
"https://www.nba.com/player/1642419/jamison-battle/","Toronto Raptors | #77 | Forward","Jamison
Battle","6.3","2.2","0.8","6'7"" (2.01m)","220lb (100kg)","USA","23 years","May 10, 2001","Undrafted","Rookie"
"https://www.nba.com/player/201587/nicolas-batum/","LA Clippers | #33 | Guard-Forward","Nicolas
Batum","3.9","2.9","1.2","6'8"" (2.03m)","230lb (104kg)","France","36 years","December 14, 1988","2008 R1 Pick 25","16 Years"
"https://www.nba.com/player/1641878/damion-baugh/","Charlotte Hornets | #7 | Guard","Damion
Baugh","8.3","3.1","3.9","6'4"" (1.93m)","194lb (88kg)","USA","24 years","August 3, 2000","Undrafted","Rookie"
"https://www.nba.com/player/203078/bradley-beal/","Phoenix Suns | #3 | Guard","Bradley
Beal","17.3","3.4","3.6","6'4"" (1.93m)","207lb (94kg)","USA","31 years","June 28, 1993","2012 R1 Pick 3","12 Years"
"https://www.nba.com/player/1627736/malik-beasley/","Detroit Pistons | #5 | Guard","Malik
Beasley","16.2","2.7","1.7","6'4"" (1.93m)","187lb (85kg)","USA","28 years","November 26, 1996","2016 R1 Pick 19","8 Years"
"https://www.nba.com/player/1630699/marjon-beauchamp/","New York Knicks | #0 | Forward","MarJon
Beauchamp","2.2","1.2","0.3","6'7"" (2.01m)","199lb (90kg)","USA","24 years","October 12, 2000","2022 R1 Pick 24","2 Years"
"https://www.nba.com/player/1641736/reece-beekman/","Brooklyn Nets | #4 | Guard","Reece
Beekman","2.0","0.9","1.3","6'3"" (1.91m)","190lb (86kg)","USA","23 years","October 8, 2001","Undrafted","Rookie"
"https://www.nba.com/player/1630180/saddiq-bey/","Washington Wizards | #14 | Guard-Forward","Saddiq
Bey","13.7","6.5","1.5","6'7"" (2.01m)","215lb (98kg)","USA","25 years","April 9, 1999","2020 R1 Pick 19","4 Years"
"https://www.nba.com/player/1629048/goga-bitadze/","Orlando Magic | #35 | Center-Forward","Goga
Bitadze","7.6","6.8","2.0","6'10"" (2.08m)","250lb (113kg)","Georgia","25 years","July 20, 1999","2019 R1 Pick 18","5 Years"
"https://www.nba.com/player/202687/bismack-biyombo/","San Antonio Spurs | #15 | Center","Bismack
Biyombo","5.1","4.8","1.1","6'8"" (2.03m)","255lb (116kg)","DRC","32 years","August 28, 1992","2011 R1 Pick 7","13 Years"
